,Symbol,Type
0,2222.SR,TRENDING
1,A,SP500
2,AAL,SP500
3,AAL,ACTIVES
4,AAP,SP500
5,AAPL,SP500
6,AAPL,DJI
7,AAPL,NASDAQ
8,AAPL,ACTIVES
9,AAT,LOOSERS
10,ABBV,SP500
11,ABC,SP500
12,ABEV,ACTIVES
13,ABG,LOOSERS
14,ABMD,SP500
15,ABT,SP500
16,ABT,ACTIVES
17,ACA.PA,CAC40
18,ACA.PA,DAX
19,ACC,LOOSERS
20,ACCD,LOOSERS
21,ACH,LOOSERS
22,ACHC,LOOSERS
23,ACN,SP500
24,ADBE,SP500
25,ADBE,NASDAQ
26,ADBE,TRENDING
27,ADCT,LOOSERS
28,ADI,SP500
29,ADI,NASDAQ
30,ADM,SP500
31,ADNT,LOOSERS
32,ADP,SP500
33,ADP,NASDAQ
34,ADSK,SP500
35,ADSK,NASDAQ
36,AEE,SP500
37,AEP,SP500
38,AEP,NASDAQ
39,AES,ACTIVES
40,AES,SP500
41,AETUF,GAINERS
42,AFL,ACTIVES
43,AFL,SP500
44,AFRM,GAINERS
45,AGIO,GAINERS
46,AGNC,ACTIVES
47,AI.PA,CAC40
48,AI.PA,DAX
49,AIG,SP500
50,AIR.PA,CAC40
51,AIR.PA,DAX
52,AIRC,LOOSERS
53,AIZ,SP500
54,AJG,SP500
55,AJG,LOOSERS
56,AKAM,SP500
57,ALB,SP500
58,ALGN,NASDAQ
59,ALGN,SP500
60,ALK,SP500
61,ALL,SP500
62,ALLE,SP500
63,ALLK,GAINERS
64,ALO.PA,CAC40
65,ALO.PA,DAX
66,ALXN,SP500
67,ALXN,NASDAQ
68,ALXO,LOOSERS
69,AM,GAINERS
70,AMADY,LOOSERS
71,AMAT,NASDAQ
72,AMAT,SP500
73,AMAT,ACTIVES
74,AMC,ACTIVES
75,AMCR,SP500
76,AMCR,ACTIVES
77,AMD,SP500
78,AMD,NASDAQ
79,AMD,ACTIVES
80,AME,SP500
81,AMGN,ACTIVES
82,AMGN,SP500
83,AMGN,DJI
84,AMGN,NASDAQ
85,AMP,SP500
86,AMRS,TRENDING
87,AMRS,GAINERS
88,AMT,SP500
89,AMWL,GAINERS
90,AMZN,SP500
91,AMZN,NASDAQ
92,ANET,SP500
93,ANSS,NASDAQ
94,ANSS,SP500
95,ANTM,SP500
96,AON,SP500
97,AOS,SP500
98,APA,SP500
99,APA,ACTIVES
100,APD,SP500
101,APH,SP500
102,APLE,LOOSERS
103,APPS,GAINERS
104,APTV,SP500
105,AR,GAINERS
106,AR,ACTIVES
107,ARE,SP500
108,ARKF,TRENDING
109,ARMK,LOOSERS
110,ARNA,GAINERS
111,ARRY,ACTIVES
112,ASAN,LOOSERS
113,ASML,NASDAQ
114,ASR,LOOSERS
115,ATEC,TRENDING
116,ATO,SP500
117,ATO.PA,DAX
118,ATO.PA,CAC40
119,ATVI,SP500
120,ATVI,NASDAQ
121,ATVI,ACTIVES
122,AUY,ACTIVES
123,AVB,LOOSERS
124,AVB,SP500
125,AVGO,SP500
126,AVGO,NASDAQ
127,AVY,SP500
128,AWK,SP500
129,AXP,DJI
130,AXP,SP500
131,AXS,LOOSERS
132,AZEK,GAINERS
133,AZO,SP500
134,AZUL,GAINERS
